method,vehicle_capacity,route_count,total_distance,total_lateness,late_stops,on_time_rate,objective_value,total_demand,average_utilization,max_route_distance,runtime_ms
nearest_neighbor,25,4,685.02,44.98,3,0.85,1134.82,93,0.93,193.67,1.434
nearest_neighbor,30,4,716.31,194.81,5,0.75,2664.41,93,0.775,284.64,1.523
nearest_neighbor,40,3,518.77,215.54,6,0.7,2674.17,93,0.775,209.36,1.24
nearest_neighbor,50,2,474.83,540.93,10,0.5,5884.13,93,0.93,255.7,1.175
nearest_neighbor_2opt,25,4,670.88,84.35,1,0.95,1514.38,93,0.93,182.18,2.431
nearest_neighbor_2opt,30,4,675.14,168.9,3,0.85,2364.14,93,0.775,255.48,2.292
nearest_neighbor_2opt,40,3,505.74,300.3,5,0.75,3508.74,93,0.775,196.33,2.272
nearest_neighbor_2opt,50,2,450.31,564.71,10,0.5,6097.41,93,0.93,231.17,3.048
savings,25,4,535.53,3.87,1,0.95,574.23,93,0.93,158.23,3.715
savings,30,4,511.08,42.7,3,0.85,938.08,93,0.775,158.23,3.955
savings,40,3,445.25,41.76,3,0.85,862.85,93,0.775,158.32,3.267
savings,50,2,431.08,664.5,10,0.5,7076.08,93,0.93,229.96,4.187
savings_2opt,25,4,535.53,3.87,1,0.95,574.23,93,0.93,158.23,5.775
savings_2opt,30,4,511.08,42.7,3,0.85,938.08,93,0.775,158.23,5.795
savings_2opt,40,3,445.25,41.76,3,0.85,862.85,93,0.775,158.32,4.12
savings_2opt,50,2,431.08,664.5,10,0.5,7076.08,93,0.93,229.96,4.605
