vehicle_id,location_id,arrival_time,service_start_time,departure_time,earliest,latest,waiting_time,lateness
1,DEPOT,0.0,0.0,0.0,0,10000,0.0,0.0
1,C007,9.52,40,45,40,160,30.48,0.0
1,C002,80.55,80.55,85.55,50,170,0.0,0.0
1,C011,101.36,101.36,106.36,80,200,0.0,0.0
1,C014,126.06,126.06,131.06,50,170,0.0,0.0
1,C005,156.47,156.47,161.47,80,200,0.0,0.0
1,DEPOT,189.62,189.62,189.62,0,10000,0.0,0.0
2,DEPOT,0.0,0.0,0.0,0,10000,0.0,0.0
2,C006,22.45,30,35,30,150,7.55,0.0
2,C012,45.05,45.05,50.05,30,150,0.0,0.0
2,C003,61.26,61.26,66.26,60,180,0.0,0.0
2,C017,79.66,80,85,80,200,0.34,0.0
2,C013,108.72,108.72,113.72,40,160,0.0,0.0
2,C010,152.05,152.05,157.05,70,190,0.0,0.0
2,C020,173.87,173.87,178.87,50,170,0.0,3.87
2,DEPOT,201.21,201.21,201.21,0,10000,0.0,0.0
3,DEPOT,0.0,0.0,0.0,0,10000,0.0,0.0
3,C004,47.69,70,75,70,190,22.31,0.0
3,C001,79.94,79.94,84.94,40,160,0.0,0.0
3,C016,91.78,91.78,96.78,70,190,0.0,0.0
3,C008,107.97,107.97,112.97,50,170,0.0,0.0
3,C015,149.29,149.29,154.29,60,180,0.0,0.0
3,C018,156.94,156.94,161.94,30,150,0.0,6.94
3,C009,179.25,179.25,184.25,60,180,0.0,0.0
3,C019,190.95,190.95,195.95,40,160,0.0,30.95
3,DEPOT,215.1,215.1,215.1,0,10000,0.0,0.0
